AllGenes	MAPK signaling pathway	ErbB signaling pathway	Ras signaling pathway	Rap1 signaling pathway	Calcium signaling pathway	cGMP-PKG signaling pathway	cAMP signaling pathway	Chemokine signaling pathway	NF-kappa B signaling pathway	HIF-1 signaling pathway	FoxO signaling pathway	Sphingolipid signaling pathway	Phospholipase D signaling pathway	p53 signaling pathway	mTOR signaling pathway	PI3K-Akt signaling pathway	AMPK signaling pathway	Wnt signaling pathway	Notch signaling pathway	Hedgehog signaling pathway	TGF-beta signaling pathway	VEGF signaling pathway	Apelin signaling pathway	Hippo signaling pathway	Toll-like receptor signaling pathway	NOD-like receptor signaling pathway	RIG-I-like receptor signaling pathway	C-type lectin receptor signaling pathway	JAK-STAT signaling pathway	IL-17 signaling pathway	T cell receptor signaling pathway	B cell receptor signaling pathway	Fc epsilon RI signaling pathway	TNF signaling pathway	Neurotrophin signaling pathway	Insulin signaling pathway	GnRH signaling pathway	Estrogen signaling pathway	Prolactin signaling pathway	Thyroid hormone signaling pathway	Adipocytokine signaling pathway	Oxytocin signaling pathway	Glucagon signaling pathway	Relaxin signaling pathway	AGE-RAGE signaling pathway in diabetic complications	Cell cycle
CACNG8	CACNG7	PIK3R3	PIK3CD	ADCY7	PLCD3	ADCY1	C00780	ADCY8	TAB2	PLCG1	PIK3R3	PIK3CB	ADCY1	BBC3	AKT3	PTEN	PIK3R3	CREBBP	NCSTN	CSNK1G3	AMH	PLCG2	ADCY8	CSNK1E	FOS	PLCB2	IRF7	MAPK1	CSF2	TRAF6	AKT3	PLCG2	PIK3R1	IRF1	PLCG1	PIK3R1	ADCY8	ADCY3	CISH	PIK3CB	ACSL4	ADCY3	PLCB4	ADCY9	PLCE1	CDKN2C
CACNG7	CACNG6	AKT3	PIK3R1	ADCY8	CHRNA7	ADCY2	C00788	ADCY9	DDX58	PLCG2	AKT3	PIK3CD	ADCY2	SFN	RRAGB	PIK3R3	AKT3	PRICKLE1	KAT2A	GRK2	IFNG	PIK3R3	ADCY9	CTNNA1	LY96	PLCB3	MAP3K1	MAPK3	CSF2RA	FOSL1	RASGRP1	PIK3R3	PIK3R2	LTA	PLCG2	PIK3R2	ADCY9	ADCY5	SOCS4	PIK3CD	ACSBG1	ADCY5	AKT3	ADCY4	PLCB2	CDKN2D
CACNG6	CACNA1A	PAK4	PIK3R2	ADCY9	ADCY8	ADCY3	C01089	PIK3R6	TAB3	AKT3	FOXO6	PIK3R1	ADCY3	APAF1	LAMTOR5	AKT3	CREB3	CSNK1A1	DLL1	GRK3	BMP8A	AKT3	ADCY4	CTNNA2	TBK1	PLCB4	NFKB1	AKT3	CSF2RB	IL6	VAV3	AKT3	PLA2G4A	MAP3K5	PIK3R3	PYGB	ADCY4	ADCY6	MAPK14	PIK3R1	ACSL6	ADCY6	SIK1B	PLCB1	PLCB3	ANAPC10
CACNA1A	CACNA1B	BUB1B-PAK6	PLCG1	ADCY4	ADCY9	ADCY5	C01312	ADCY4	LAT	EGLN2	C8orf44-SGK3	PIK3R2	ADCY5	IGFBP3	NPRL2	LPAR6	CAMKK2	NOTUM	HDAC1	EVC	INHBA	MAPK14	PLCB1	CTNNB1	IFNAR1	RELA	NFKBIA	CLEC4M	CSF3	TAB2	MALT1	LOC102723407	PLCG1	NFKB1	AKT3	PYGL	PLCB1	ADCY7	AKT1	PIK3R2	ACACB	ADCY7	CREB3	NOS1	PLCB4	MAD2L2
CACNA1B	CACNA1C	NRG3	PLCG2	PLCB1	CALML6	ADCY6	C01996	PLCB1	CSNK2A3	EGLN3	SGK2	PLCB2	ADCY6	MDM4	RRAGA	CDK2	RAB10	CTBP1	HDAC2	FBXW11	INHBB	AKT1	ITPR1	GDF7	IFNAR2	CASP12	NFKBIB	IRF9	CSF3R	test	CHUK	VAV3	PLCG2	NFKBIA	SH2B3	PYGM	ITPR1	ADCY8	AKT2	PLCB2	ACSL5	ADCY8	PPARGC1A	NOS2	PLCD1	STAG2
CACNA1C	CACNA1D	CRK	PIK3R3	HRAS	ADCY4	ADCY7	C02017	PIK3R5	BLNK	CREBBP	CDK2	PLCB3	ADCY7	GADD45B	TBC1D7-LOC100130357	CDK4	PPARGC1A	CTBP2	RBPJ	GLI1	INHBC	AKT2	ITPR2	AMOT	IFNB1	NAMPT	PIN1	MALT1	CSH1	test	MAP3K8	MALT1	PIK3R3	PIK3CA	SH2B2	SLC2A4	ITPR2	ADCY9	FOXO3	PLCB3	PPARA	ADCY9	CREB1	NOS3	PLCG1	PTTG2
CACNA1D	CACNA1E	CRKL	AKT3	KRAS	PTK2B	ADCY8	C03758	PIK3CA	BIRC2	EGF	TPTEP2-CSNK1E	PLCB4	ADCY8	ATM	FZD10	CDK6	CREB1	CTNNB1	JAG2	GLI2	RHOA	HRAS	ITPR3	RASSF6	TICAM2	IRF9	RNF125	NLRP3	CSH2	test	MAPK14	CHUK	PLA2G4C	PIK3CB	FRS2	PIK3R3	ITPR3	ADCY4	FOS	PLCB4	PRKCQ	PLA2G4E	ATF2	PIK3CA	PLCG2	GADD45G
CACNA1E	CACNA1F	NRG4	RASA4B	NRAS	P2RX2	ADCY9	C15906	PIK3CB	BIRC3	EGFR	CHUK	PIK3R3	ADCY9	CYCS	ATP6V1G3	CDKN1A	ADRA1A	PRICKLE2	LFNG	GLI3	GDF6	KDR	NOS1	DLG1	IKBKB	NOD1	OTUD5	CHUK	CTF1	test	DLG1	PIK3AP1	JMJD7-PLA2G4B	PIK3CD	IRAK3	AKT3	PLCB2	PLCB1	SHC2	PLCD1	RXRA	ADCY4	CREBBP	PIK3CB	PLCD4	DBF4
CACNA1F	CACNA1S	HBEGF	RASGRP1	PLCB2	PLCB1	ADCY4	C15949	PIK3CD	TICAM2	EIF4EBP1	AGAP2	AKT3	PIK3R6	ATR	SLC38A9	CDKN1B	CREB3L4	DVL1	MFNG	SPOPL	LTBP1	KRAS	NOS2	DLG2	IRAK1	TAB1	MAVS	MAPK14	IL23R	test	AKT1	AKT1	LOC102723407	PIK3R1	CRK	SORBS1	PLCB3	NOS3	GRB2	PLCG1	RXRB	PLCB1	CREB3L4	PIK3CD	AKT3	YWHAQ
CACNA1S	CACNA2D1	EGF	RASA4	PLCB3	GRIN1	PLCB1	C16003	PIK3CG	IKBKB	EP300	MAPK14	GNA13	ADCY4	CCND1	DVL1	LOC102723407	ELAVL1	DVL2	NOTCH1	IHH	SMAD1	NFATC2	NOS3	DLG3	IRF3	RBCK1	RELA	CYLD	IFNLR1	test	AKT2	AKT2	VAV3	PIK3R2	CRKL	SH2B2	PLCB4	PLCB2	GSK3B	PLCG2	RXRG	PLA2G4F	SIK1	PIK3R1	MAPK14	CHEK1
